,Місто,Кімнат,Загальна_площа,Ціна
764,Хмельницький,2,70.0,550000.0
765,Хмельницький,2,75.0,750000.0
766,Хмельницький,1,40.0,425000.0
767,Хмельницький,3,68.0,575000.0
768,Хмельницький,2,68.0,950000.0
769,Хмельницький,3,86.0,1350000.0
770,Хмельницький,2,53.53,329200.0
771,Хмельницький,2,71.74,540000.0
772,Хмельницький,2,45.0,375000.0
773,Хмельницький,2,64.14,450000.0
774,Хмельницький,2,44.0,375000.0
775,Хмельницький,3,71.5,725000.0
776,Хмельницький,1,52.0,647500.0
777,Хмельницький,4,133.4,997500.0
778,Хмельницький,3,77.56,477000.0
779,Хмельницький,3,80.0,1125000.0
780,Хмельницький,3,80.0,1125000.0
781,Хмельницький,2,53.87,400000.0
782,Хмельницький,2,62.99,471795.0
783,Хмельницький,1,30.0,375000.0
784,Хмельницький,1,50.0,537500.0
785,Хмельницький,2,58.63,480000.0
786,Хмельницький,1,39.8,375000.0
787,Хмельницький,2,49.0,575000.0
788,Хмельницький,1,30.0,312500.0
789,Хмельницький,2,67.0,572500.0
790,Хмельницький,3,92.0,787500.0
791,Хмельницький,1,38.0,450000.0
792,Хмельницький,1,49.0,375000.0
793,Хмельницький,1,47.0,350000.0
794,Хмельницький,2,76.0,1125000.0
795,Хмельницький,3,67.0,525000.0
796,Хмельницький,1,42.0,275000.0
797,Хмельницький,2,60.0,512500.0
798,Хмельницький,3,65.0,400000.0
799,Хмельницький,3,80.0,1125000.0
800,Хмельницький,1,51.0,300000.0
801,Хмельницький,2,63.0,472500.0
802,Хмельницький,2,80.0,300000.0
803,Хмельницький,2,50.1,475000.0
804,Хмельницький,3,73.0,600000.0
805,Хмельницький,1,43.5,500000.0
806,Хмельницький,1,54.28,333800.0
807,Хмельницький,3,89.0,625000.0
808,Хмельницький,4,130.0,750000.0
809,Хмельницький,2,71.0,575000.0
810,Хмельницький,2,65.0,550000.0
811,Хмельницький,1,47.0,525000.0
812,Хмельницький,3,93.0,900000.0
813,Хмельницький,2,50.0,500000.0
814,Хмельницький,3,78.0,675000.0
815,Хмельницький,3,105.0,887500.0
816,Хмельницький,3,94.0,900000.0
817,Хмельницький,3,105.0,950000.0
818,Хмельницький,2,70.0,800000.0
819,Хмельницький,3,89.0,625000.0
820,Хмельницький,3,70.0,637500.0
821,Хмельницький,3,112.56,10500.0
822,Хмельницький,3,93.0,900000.0
823,Хмельницький,2,66.0,950000.0
824,Хмельницький,2,80.0,1125000.0
825,Хмельницький,1,37.0,387500.0
826,Хмельницький,1,50.0,375000.0
827,Хмельницький,1,43.0,337500.0
828,Хмельницький,1,36.0,220000.0
829,Хмельницький,1,42.0,264600.0
830,Хмельницький,1,42.0,575000.0
831,Хмельницький,3,72.0,925000.0
832,Хмельницький,1,41.0,275000.0
833,Хмельницький,1,35.58,212500.0
834,Хмельницький,1,52.0,330000.0
835,Хмельницький,1,41.0,325000.0
836,Хмельницький,1,47.0,375000.0
837,Хмельницький,2,53.0,387500.0
838,Хмельницький,2,60.0,522500.0
